Fall,2014,ANIL ADA,CS,15112,FNDMTLS OF PGMG & CS,2,Lect,98,159,0.62,17.36,4.79,4.68,4.7,4.55,4.78,4.72,4.87,4.71,4.74
Fall,2014,SAQUIB RAZAK,CS,15112,FNDMTLS OF PGMG & CS,W,Lect,19,27,0.70,15.74,4.79,4.47,4.47,4.32,4.58,4.53,4.83,4.61,4.5
Fall,2014,DAVIDE FOSSATI,CS,15112,FNDMTLS OF PGMG & CS,X,Lect,8,16,0.50,14.14,4,4.38,4.13,4.38,4.5,4.38,4.75,4.13,3.88
Summer,2013,GREGORY KESDEN,CS,15112,FNDMTLS OF PGMG & CS,E,Lect,29,57,0.51,16.9,3.72,3.93,3.86,4,4.36,3.97,4,3.79,4.1
Summer,2013,GREGORY KESDEN,CS,15112,FNDMTLS OF PGMG & CS,S,Lect,3,11,0.27,14,4,4,3.67,3.67,3.33,3.33,3.67,3.67,3.67
Summer,2013,GREGORY KESDEN,CS,15112,FNDMTLS OF PGMG & CS,U,Lect,6,17,0.35,15.33,4.33,3.17,3.33,4.17,4.33,4.17,3.33,3.67,4.17
Spring,2013,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,1,Lect,155,241,0.64,16.81,4.8,4.72,4.75,4.57,4.81,4.71,4.49,4.72,4.72
Spring,2013,KELLY RIVERS,CS,15112,FNDMTLS OF PGMG & CS,2,Lect,22,43,0.51,15.73,4.45,4.41,4.43,4.18,4.41,4.36,4.68,4.27,4.59
Fall,2013,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,1,Lect,180,253,0.71,16.58,4.96,4.89,4.93,4.74,4.91,4.8,4.81,4.88,4.85
Fall,2013,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,2,Lect,46,69,0.67,16.09,4.87,4.76,4.78,4.59,4.83,4.7,4.76,4.74,4.7
Summer,2012,GREGORY KESDEN,CS,15112,FNDMTLS OF PGMG & CS,E,Lect,28,50,0.56,10.56,3.86,3.68,3.82,3.54,3.96,3.68,4,3.61,3.64
Summer,2012,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,S,Lect,11,15,0.73,14,4.91,4.82,4.91,5,5,5,4.82,5,5
Summer,2012,GREGORY KESDEN,CS,15112,FNDMTLS OF PGMG & CS,U,Lect,2,9,0.22,12.5,2.5,2,2,1.5,1.5,2,3,2,2.5
Spring,2012,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,1,Lect,135,214,0.63,12.89,4.9,4.76,4.76,4.57,4.81,4.71,4.51,4.79,4.7
Spring,2012,THIERRY SANS,CS,15112,FNDMTLS OF PGMG & CS,W,Lect,2,2,1.00,11,5,5,5,5,5,5,5,5,5
Fall,2012,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,1,Lect,182,257,0.71,12.39,4.81,4.69,4.73,4.58,4.83,4.67,4.57,4.72,4.71
Fall,2012,SAQUIB RAZAK,CS,15112,FNDMTLS OF PGMG & CS,W,Lect,21,21,1.00,9.33,4.52,4.52,4.48,3.71,4.62,4.48,4.86,4.48,4.33
Fall,2011,DAVID KOSBIE,CS,15112,FNDMTLS OF PGMG & CS,1,Lect,174,240,0.73,12.04,4.84,4.67,4.72,4.65,4.82,4.68,4.45,4.7,4.66
Fall,2011,SAQUIB RAZAK,CS,15112,FNDMTLS OF PGMG & CS,W,Lect,20,23,0.87,10.33,4.8,4.45,4.6,4.3,4.65,4.8,4.95,4.8,4.6
Summer,2016,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,E,Lect,2,10,0.20,19,5,4.5,4.5,4,5,4.5,4.5,4.5,4.5
Summer,2016,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,U,Lect,7,23,0.30,22.43,3.43,3.14,3.43,3,3.43,3,3.86,3,3.14
Spring,2016,ROBERT SIMMONS,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,75,131,0.57,12.39,4.76,4.56,4.53,4.24,4.6,4.65,4.79,4.56,4.57
Spring,2016,HYRUM WRIGHT,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,99,175,0.57,11.58,4.26,3.96,4.02,3.82,4.23,4.01,4.4,3.89,3.93
Spring,2016,RAZAK S.,CS,15122,PRIN IMPRTV COMPTATN,W,Lect,13,17,0.76,16.69,4.85,4.69,4.77,4.31,4.62,4.77,4.85,4.85,4.62
Spring,2016,HAMMOUD M.,CS,15122,PRIN IMPRTV COMPTATN,W,Lect,13,17,0.76,18,5,4.58,4.92,4.58,4.83,4.83,5,4.75,4.92
Fall,2016,ILIANO CERVESATO,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,94,158,0.59,15.29,4.02,3.84,3.99,3.45,3.97,3.74,4.09,3.62,3.61
Fall,2016,THOMAS CORTINA,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,162,244,0.66,12.8,4.58,4.52,4.57,4.13,4.52,4.59,4.64,4.61,4.33
Summer,2015,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,E,Lect,25,33,0.76,19.84,4,4.24,4,3.36,4.16,4,4.16,4,4.32
Summer,2015,ROBERT SIMMONS,CS,15122,PRIN IMPRTV COMPTATN,S,Lect,15,36,0.42,21.57,4.67,4.6,4.6,4.47,4.73,4.71,4.87,4.6,4.53
Summer,2015,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,U,Lect,8,23,0.35,21.5,3.38,3.13,3.38,2.88,4,3.5,3.63,2.86,3.14
Spring,2015,ROBERT SIMMONS,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,101,140,0.72,13.38,4.54,4.42,4.45,4.03,4.53,4.47,4.61,4.43,4.26
Spring,2015,HYRUM WRIGHT,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,70,140,0.50,10.99,4.16,3.92,3.87,3.44,4.09,3.51,4.59,3.5,3.81
Spring,2015,SAQUIB RAZAK,CS,15122,PRIN IMPRTV COMPTATN,3,Lect,18,25,0.72,13.72,4.89,4.61,4.72,4.22,4.5,4.67,4.61,4.72,4.61
Fall,2015,FRANK PFENNING,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,67,131,0.51,13.78,4.21,4.52,4.51,3.94,4.43,4.34,4.51,4.18,4.25
Fall,2015,THOMAS CORTINA,CS,15122,PRIN IMPRTV COMPTATN,2,Lect,123,205,0.60,11.32,4.65,4.65,4.6,4.25,4.65,4.71,4.7,4.67,4.44
Summer,2014,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,E,Lect,14,19,0.74,19.29,4.64,4.64,4.77,4.43,4.86,4.57,4.57,4.71,4.71
Summer,2014,ROBERT SIMMONS,CS,15122,PRIN IMPRTV COMPTATN,S,Lect,23,37,0.62,21.43,4.57,4.65,4.73,4.27,4.55,4.55,4.77,4.64,4.64
Summer,2014,VICTOR ADAMCHIK,CS,15122,PRIN IMPRTV COMPTATN,U,Lect,12,30,0.40,15.83,3.25,3.42,3.75,2.75,4.08,3.58,2.91,3.25,3.67
Spring,2014,DATTA A.,CS,15122,PRIN IMPRTV COMPTATN,1,Lect,147,259,0.57,11.46,3.59,3.67,3.73,3.21,3.63,3.51,4.1,3.34,3.31
